Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.46606302  	 6.46606356 
1.01105263  	 6.54391601  	 6.54391644 
1.01210526  	 6.62166452  	 6.62166494 
1.01315789  	 6.70083631  	 6.70083670 
1.01421053  	 6.78315686  	 6.78315723 
1.01526316  	 6.87081145  	 6.87081180 
1.01631579  	 6.96690742  	 6.96690775 
1.01736842  	 7.07644014  	 7.07644044 
1.01842105  	 7.20865963  	 7.20865989 
1.01947368  	 7.38397012  	 7.38397035 
1.02052632  	 7.64897796  	 7.64897884 
